slack,seed,factor,op,op_truthful,app,app_truthful,sys,sys_truthful
0.5,0,1.0,3.026668505503979,3.026668505503979,5.5767476945630765,5.5767476945630765,245.54318430214823,245.54318430214823
0.5,0,1.25,3.026668505503979,3.026668505503979,5.5767476945630765,5.5767476945630765,245.54318430214823,245.54318430214823
0.5,0,1.5,3.026668505503979,3.026668505503979,5.5767476945630765,5.5767476945630765,245.54318430214823,245.54318430214823
0.5,0,2.0,3.026668505503979,3.026668505503979,5.5767476945630765,5.5767476945630765,245.54318430214823,245.54318430214823
0.5,0,4.0,3.026668505503979,3.026668505503979,5.5767476945630765,5.5767476945630765,245.54318430214823,245.54318430214823
0.5,1,1.0,9.546859656176633,9.546859656176633,14.41784528206692,14.41784528206692,479.39321974558607,479.39321974558607
0.5,1,1.25,9.546859656176633,9.546859656176633,14.41784528206692,14.41784528206692,479.39321974558607,479.39321974558607
0.5,1,1.5,9.334120802442069,9.546859656176633,11.141328563660522,14.41784528206692,442.073431759041,479.39321974558607
0.5,1,2.0,9.334120802442069,9.546859656176633,11.141328563660522,14.41784528206692,442.073431759041,479.39321974558607
0.5,1,4.0,1.2108730561153787,9.546859656176633,4.640689749854008,14.41784528206692,212.41783030959286,479.39321974558607
0.5,2,1.0,21.30239157448874,21.30239157448874,9.48051038596547,9.48051038596547,676.7732628572984,676.7732628572984
0.5,2,1.25,21.10746124635731,21.30239157448874,9.48051038596547,9.48051038596547,676.7732628572984,676.7732628572984
0.5,2,1.5,21.10746124635731,21.30239157448874,9.48051038596547,9.48051038596547,676.7732628572984,676.7732628572984
0.5,2,2.0,21.067607841536315,21.30239157448874,9.043484016534498,9.48051038596547,668.969737625546,676.7732628572984
0.5,2,4.0,18.86049628730322,21.30239157448874,8.223297903633933,9.48051038596547,595.7115369135136,676.7732628572984
0.5,3,1.0,3.847260400068397,3.847260400068397,5.449525408090613,5.449525408090613,139.96845839958564,139.96845839958564
0.5,3,1.25,3.847260400068397,3.847260400068397,5.449525408090613,5.449525408090613,139.96845839958564,139.96845839958564
0.5,3,1.5,3.847260400068397,3.847260400068397,5.449525408090613,5.449525408090613,139.96845839958564,139.96845839958564
0.5,3,2.0,3.847260400068397,3.847260400068397,5.449525408090613,5.449525408090613,139.96845839958564,139.96845839958564
0.5,3,4.0,0.0,3.847260400068397,0.0,5.449525408090613,0.0,139.96845839958564
0.5,4,1.0,6.991087897253455,6.991087897253455,11.773990786629277,11.773990786629277,305.5276622464834,305.5276622464834
0.5,4,1.25,6.78013804425552,6.991087897253455,9.707059348607372,11.773990786629277,266.46294900523617,305.5276622464834
0.5,4,1.5,6.78013804425552,6.991087897253455,9.707059348607372,11.773990786629277,266.46294900523617,305.5276622464834
0.5,4,2.0,6.78013804425552,6.991087897253455,9.707059348607372,11.773990786629277,266.46294900523617,305.5276622464834
0.5,4,4.0,6.78013804425552,6.991087897253455,9.707059348607372,11.773990786629277,266.46294900523617,305.5276622464834
0.5,5,1.0,4.3318752255035475,4.3318752255035475,14.605575289002433,14.605575289002433,221.86703908520144,221.86703908520144
0.5,5,1.25,3.542904201564761,4.3318752255035475,11.614884275084886,14.605575289002433,203.23385648713878,221.86703908520144
0.5,5,1.5,3.542904201564761,4.3318752255035475,11.614884275084886,14.605575289002433,203.23385648713878,221.86703908520144
0.5,5,2.0,2.187254539286657,4.3318752255035475,2.251899795771832,14.605575289002433,87.86172620665613,221.86703908520144
0.5,5,4.0,2.187254539286657,4.3318752255035475,2.251899795771832,14.605575289002433,87.86172620665613,221.86703908520144
0.5,6,1.0,23.94298255281997,23.94298255281997,12.71320284155062,12.71320284155062,919.2062327882652,919.2062327882652
0.5,6,1.25,23.94298255281997,23.94298255281997,12.71320284155062,12.71320284155062,919.2062327882652,919.2062327882652
0.5,6,1.5,23.94298255281997,23.94298255281997,12.71320284155062,12.71320284155062,919.2062327882652,919.2062327882652
0.5,6,2.0,23.94298255281997,23.94298255281997,12.71320284155062,12.71320284155062,919.2062327882652,919.2062327882652
0.5,6,4.0,11.561135414741548,23.94298255281997,4.290495798618166,12.71320284155062,431.29634189560574,919.2062327882652
0.5,7,1.0,4.0313022184895235,4.0313022184895235,10.905798587894955,10.905798587894955,235.89174498200344,235.89174498200344
0.5,7,1.25,3.5041085335770386,4.0313022184895235,10.330384628211947,10.905798587894955,224.7695770059319,235.89174498200344
0.5,7,1.5,3.247593244019162,4.0313022184895235,9.12021273229842,10.905798587894955,211.0602883194981,235.89174498200344
0.5,7,2.0,3.7150174126970286,4.0313022184895235,5.302819523812545,10.905798587894955,154.85316015231038,235.89174498200344
0.5,7,4.0,2.4360910789889956,4.0313022184895235,2.060840275009678,10.905798587894955,92.18899086453754,235.89174498200344
